Time (s);Magnetic Field x (µT);Magnetic Field y (µT);Magnetic Field z (µT);Absolute field (µT)
3,253305083;-50,39523315;-32,78884888;1,955673218;60,15490664
3,263237083;-50,27883911;-32,64750671;2,007156372;59,98208094
3,273168083;-50,40286255;-32,83042908;2,005615234;60,18561389
3,283100083;-50,20245361;-32,54585266;2,278411865;59,87244804
3,293032083;-50,12753296;-32,41814423;2,032546997;59,73137269
3,302963083;-50,30630493;-32,49654388;1,634689331;59,91178423
3,312895083;-50,64447021;-32,7345047;1,882369995;60,33202697
3,322827083;-50,23373413;-32,73007202;1,89213562;59,9855469
3,332758083;-50,30331421;-32,84082794;2,251998901;60,11667738
3,342690083;-50,35290527;-32,62919617;1,79598999;60,02753611
3,352622083;-50,45443726;-32,65705109;2,45526123;60,1511557
3,362554083;-50,49789429;-32,66127777;2,510223389;60,19217237
3,372485083;-50,30441284;-32,97661591;2,905593872;60,21987731
3,382417083;-50,30484009;-32,96910858;2,253326416;60,18817606
3,392349083;-50,63595581;-33,12570953;2,722335815;60,56999063
3,402280083;-50,46737671;-32,75229645;1,931503296;60,19468199
3,412212083;-50,47509766;-32,71021271;2,112380981;60,18434724
3,422144083;-50,24078369;-32,56484222;1,737335205;59,89677478
3,432075083;-50,30456543;-32,73570251;1,456451416;60,03579576
3,442007083;-50,2963562;-32,65477753;1,871353149;59,99633243
3,451939083;-50,39694214;-32,78942871;1,9765625;60,15733714
3,461870083;-50,35824585;-32,3935318;1,311462402;59,89168357
3,471802083;-50,32232666;-32,78946686;1,564331055;60,08271656
3,481734083;-50,49462891;-32,6233139;1,417068481;60,13315426
3,491665083;-50,45410156;-32,85918427;1,845352173;60,23908764
3,501597083;-50,28311157;-32,8848114;1,117446899;60,09201959
3,511529083;-50,50323486;-32,89453125;1,422988892;60,28807357
3,521461083;-50,31021118;-32,59073639;1,416061401;59,96064274
3,531392083;-50,43429565;-33,00849152;1,65007019;60,29843631
3,541324083;-50,27542114;-32,7016449;1,975875854;60,00766314
3,551256083;-50,30871582;-33,09972382;2,338760376;60,26631235
3,561187083;-50,30871582;-33,09972382;2,338760376;60,26631235
3,571119083;-50,17590332;-33,05515289;2,217315674;60,12637438
3,581051083;-50,26873779;-33,08807373;2,113830566;60,21822732
3,590982083;-50,387146;-32,81565857;2,56237793;60,18552741
3,600914083;-50,30648804;-32,78513336;2,26663208;60,08947769
3,610846083;-50,33084106;-32,59933472;1,772537231;59,9921001
3,620777083;-50,33230591;-32,74160767;2,042907715;60,07934223
3,630709083;-50,24240112;-32,74094391;1,996826172;60,00212991
3,640641083;-50,30258179;-32,9697113;2,330368042;60,18955236
3,650572083;-50,12164307;-32,73900604;1,637893677;59,88910014
3,660504083;-50,42462158;-32,90516663;1,894943237;60,241043
3,670436083;-50,30828857;-32,67263794;2,059356689;60,02221355
3,680367083;-50,27047729;-32,9418335;1,903656006;60,13243042
3,690299083;-50,17370605;-32,77604675;1,715713501;59,9550973
3,700231083;-50,15731812;-32,98999786;1,772003174;60,06027402
3,710163083;-50,28710938;-32,66790009;1,936401367;59,99778926
3,720094083;-50,30587769;-32,64461517;2,007827759;60,0031966
3,730026083;-50,21160889;-32,61336517;2,10194397;59,91039495
3,739958083;-50,39788818;-32,72676849;2,197509766;60,13166852
3,749889083;-50,17999268;-32,59395599;1,875823975;59,86581953
3,759821083;-50,14105225;-32,51940155;2,081161499;59,79939657
3,769753083;-50,1194458;-32,47241974;1,853103638;59,74822913
3,779684083;-50,39553833;-32,93209076;1,824798584;60,22925182
3,789616083;-50,25701904;-32,59355164;1,628204346;59,92293902
3,799548083;-50,2598877;-33,02732849;2,027954102;60,17452398
3,809479083;-50,26565552;-32,76007843;2,036911011;60,03338962
3,819411083;-50,3321228;-33,17549896;2,218444824;60,322946
3,829343083;-50,09924316;-32,77705383;2,002746582;59,9022572
3,839274083;-50,18579102;-32,9704361;2,387466431;60,09461933
3,849206083;-50,17034912;-32,88575745;2,115127563;60,02508424
3,859138083;-50,41705322;-33,22306824;2,038085938;60,41361861
3,869070083;-50,2008667;-32,68759155;1,485534668;59,92338836
3,879001083;-50,54943848;-32,82623291;2,203948975;60,3130557
3,888933083;-50,56906128;-32,77967072;1,921737671;60,29452584
3,898865083;-50,37948608;-32,88602448;1,934127808;60,19405348
3,908796083;-50,25305176;-32,59973145;1,376205444;59,9166558
3,918728083;-50,30300903;-32,80697632;1,845306396;60,08407084
3,928660083;-50,15753174;-32,55713654;1,429229736;59,81461215
3,938591083;-50,47180176;-32,91391754;1,960601807;60,28741743
3,948523083;-50,36987305;-32,61097717;2,065917969;60,04055263
3,958455083;-50,64920044;-33,01660156;2,139038086;60,49804102
3,968386083;-50,24423218;-33,04306793;2,102294922;60,17264203
3,978318083;-50,42782593;-33,08735657;2,538513184;60,36706753
3,988250083;-50,08270264;-32,89470673;2,268981934;59,96238082
3,998181083;-50,33078003;-32,87059021;2,615875244;60,17064004
4,008113083;-50,18606567;-32,86984253;2,224609375;60,03346252
4,018045083;-50,45355225;-33,11004639;2,506469727;60,39965643
4,027976083;-50,34060669;-32,84161377;2,184692383;60,14583242
4,037908083;-50,47235107;-32,91092682;2,126251221;60,29185908
4,047840083;-50,30380249;-32,62657928;1,795639038;59,98491927
4,057772083;-50,44952393;-32,84509277;1,642318726;60,22168874
4,067703083;-50,26776123;-32,67331696;1,641525269;59,97572897
4,077635083;-50,4017334;-32,99663544;2,134094238;60,27990576
4,087567083;-50,48779297;-32,61306;1,731964111;60,13009746
4,097498083;-50,52810669;-32,8814621;1,725921631;60,30969176
4,107430083;-50,34741211;-32,75143433;1,935348511;60,09379278
4,117362083;-50,39761353;-32,88844299;2,256790161;60,22177541
4,127293083;-50,31497192;-32,46330261;2,057235718;59,91406041
4,137225083;-50,47396851;-32,86667633;1,869186401;60,26054901
4,147157083;-50,35772705;-32,74078369;1,761581421;60,09128689
4,157088083;-50,25756836;-33,16040802;2,125167847;60,24908444
4,167020083;-50,18518066;-32,72707367;2,161605835;59,9523665
4,176952083;-50,40420532;-32,98215485;2,830566406;60,30272431
4,186883083;-50,2796936;-32,62838745;2,28692627;59,98240816
4,196814833;-50,33334351;-32,8660965;2,889663696;60,18285407
4,206746833;-50,20297241;-32,50502014;2,368057251;59,8541767
4,216677833;-50,25473022;-32,87623596;2,202041626;60,09354198
4,226609833;-50,13687134;-32,69051361;2,063522339;59,88851035
4,236541833;-50,44558716;-32,92445374;2,407272339;60,28741061
4,246473833;-50,10040283;-32,59615326;1,647354126;59,79358951
4,256404833;-50,19830322;-32,65906525;1,86618042;59,91633182
4,266336833;-50,14572144;-32,41146088;1,72845459;59,73343896
4,276268833;-50,27139282;-32,52675629;1,676315308;59,90002374
4,286199833;-50,16558838;-32,27753448;1,602203369;59,67405253
